,num_female,num_male,num_other,num_unknown,num_total,ratio_female,male_female_difference,new_male_female_difference_Random,new_male_female_difference_MostPop,new_male_female_difference_UserKNN,new_male_female_difference_MF,new_male_female_difference_PMF,new_male_female_difference_BPR,new_male_female_difference_NMF,new_male_female_difference_WMF,new_male_female_difference_PF,new_male_female_difference_NeuMF,new_male_female_difference_VAECF
30273,13,4,0,6,23,0.5652173913043478,-0.391304347826087,0.0,-0.4,-0.6,-0.3,0.0,-0.2,0.2,0.0,0.6,-0.4,-0.9
67198,16,7,0,0,23,0.6956521739130435,-0.391304347826087,0.2,-0.4,-0.2,0.0,0.4,-0.2,0.0,-0.2,0.6,-0.4,-0.2
91113,70,29,0,6,105,0.6666666666666666,-0.3904761904761905,0.4,-0.4,-0.2,0.4,0.2,-0.2,0.6,-0.2,-0.6,-0.4,-1.0
209756,28,12,0,1,41,0.6829268292682927,-0.3902439024390244,-0.1,-0.4,-0.2,0.0,0.2,-0.4,0.1,-0.6,-0.2,-0.4,0.0
30487,37,16,0,1,54,0.6851851851851852,-0.3888888888888889,-0.5,-0.4,-0.2,0.3,0.4,-0.4,0.1,0.0,-0.4,-0.4,-0.2
74758,10,3,0,5,18,0.5555555555555556,-0.3888888888888889,-0.2,-0.4,-0.2,0.3,0.4,-0.4,0.0,-0.4,-0.2,-0.4,-0.4
87712,21,9,0,1,31,0.6774193548387096,-0.3870967741935484,0.2,-0.4,-0.6,-0.4,0.4,-0.4,0.6,-0.2,0.0,-0.4,-0.2
203240,55,23,0,5,83,0.6626506024096386,-0.3855421686746988,0.2,-0.4,-0.4,0.6,0.4,-0.4,0.2,0.0,0.0,-0.4,-0.8
30555,9,4,0,0,13,0.6923076923076923,-0.3846153846153846,-0.1,-0.4,-0.4,0.3,0.0,-0.4,0.3,-0.2,0.0,-0.4,-0.6
103336,17,7,0,2,26,0.6538461538461539,-0.3846153846153846,0.3,-0.4,-0.6,-0.2,0.4,-0.2,0.5,0.0,-0.6,-0.4,-0.6
244736,9,4,0,0,13,0.6923076923076923,-0.3846153846153846,-0.2,-0.4,-0.2,0.1,0.5,-0.4,0.5,0.0,-0.6,-0.4,-0.8
159817,9,4,0,0,13,0.6923076923076923,-0.3846153846153846,0.0,-0.4,-0.2,-0.2,0.2,-0.4,0.8,-0.4,-0.4,-0.4,-0.4
210317,9,4,0,0,13,0.6923076923076923,-0.3846153846153846,0.0,-0.4,-0.2,0.0,0.6,-0.4,0.5,-0.2,-0.8,-0.4,-0.8
237064,9,4,0,0,13,0.6923076923076923,-0.3846153846153846,-0.2,-0.4,0.2,0.3,0.2,-0.2,0.1,0.4,0.8,-0.4,0.2
225887,9,4,0,0,13,0.6923076923076923,-0.3846153846153846,0.0,-0.4,-0.6,0.1,0.2,-0.4,0.1,-0.6,-0.2,-0.4,-0.4
149120,9,4,0,0,13,0.6923076923076923,-0.3846153846153846,-0.3,-0.4,-0.2,-0.2,0.2,-0.4,0.0,-0.2,-0.2,-0.4,-0.4
54453,9,4,0,0,13,0.6923076923076923,-0.3846153846153846,0.0,-0.4,-0.8,0.3,0.4,-0.4,0.2,-0.2,0.4,-0.4,0.0
151589,9,4,0,0,13,0.6923076923076923,-0.3846153846153846,-0.3,-0.4,-0.6,0.3,0.2,-0.4,0.3,-0.4,0.0,-0.4,-0.4
179733,9,4,0,0,13,0.6923076923076923,-0.3846153846153846,-0.3,-0.4,-0.8,0.2,0.4,-0.4,-0.1,-0.4,-0.4,-0.4,-0.8
7082,9,4,0,0,13,0.6923076923076923,-0.3846153846153846,0.7,-0.4,-0.8,0.8,0.2,-0.4,0.1,-1.0,0.0,-0.4,-0.8
138777,9,4,0,0,13,0.6923076923076923,-0.3846153846153846,0.0,-0.4,-0.8,-0.2,0.4,-0.4,0.4,0.0,-0.2,-0.4,-0.6
235282,64,26,0,10,100,0.64,-0.38,-0.3,-0.4,0.2,-0.6,0.0,-0.2,0.0,0.0,-0.4,-0.4,-0.9
144318,25,11,0,1,37,0.6756756756756757,-0.3783783783783784,-0.2,-0.4,-0.6,0.4,0.4,-0.2,0.7,0.2,-0.4,-0.4,0.0
210261,5,2,0,1,8,0.625,-0.375,0.2,-0.4,-0.5,0.5,0.0,-0.4,0.3,-0.7,0.8,-0.4,1.0
135873,5,2,0,1,8,0.625,-0.375,-0.5,-0.4,-0.4,0.4,0.4,-0.2,0.7,-0.6,0.4,-0.4,-0.2
8734,10,4,0,2,16,0.625,-0.375,-0.3,-0.4,-0.2,-0.1,0.2,-0.4,0.4,-0.4,-0.8,-0.4,-0.4
79747,5,2,0,1,8,0.625,-0.375,-0.2,-0.4,-0.6,0.1,0.4,-0.4,-0.1,-0.1,-0.2,-0.4,-0.8
79961,5,2,0,1,8,0.625,-0.375,-0.1,-0.4,-0.2,0.6,0.4,-0.2,0.2,-0.5,0.0,-0.4,-0.8
199178,5,2,0,1,8,0.625,-0.375,0.2,-0.4,-0.2,0.0,0.2,-0.4,0.1,0.0,0.4,-0.4,0.4
227447,42,18,0,4,64,0.65625,-0.375,-0.5,-0.4,0.2,0.4,0.4,-0.4,-0.2,-0.2,0.0,-0.4,-0.4
10819,16,7,0,1,24,0.6666666666666666,-0.375,-0.2,-0.4,-0.4,0.4,0.4,-0.4,0.2,-0.4,0.0,-0.4,-0.4
219593,5,2,0,1,8,0.625,-0.375,0.1,-0.4,0.0,0.2,0.4,-0.4,0.7,-0.2,-0.8,-0.4,-0.6
12123,5,2,0,1,8,0.625,-0.375,0.2,-0.4,-0.4,0.2,0.0,-0.4,0.5,0.0,0.4,-0.4,-0.6
43006,11,5,0,0,16,0.6875,-0.375,-0.2,-0.4,-0.2,0.0,0.2,-0.2,0.3,-0.2,-0.6,-0.4,-0.4
240484,5,2,0,1,8,0.625,-0.375,-0.1,-0.4,-0.3,0.0,0.2,-0.4,-0.3,0.6,0.2,-0.4,-0.4
144555,16,7,0,1,24,0.6666666666666666,-0.375,0.2,-0.4,-0.2,0.0,0.4,-0.4,0.3,-0.2,0.0,-0.4,0.0
217056,11,5,0,0,16,0.6875,-0.375,0.1,-0.4,-0.6,0.6,0.2,-0.4,0.3,-0.6,0.0,-0.4,0.6
66073,11,5,0,0,16,0.6875,-0.375,0.0,-0.4,-0.4,0.3,0.0,-0.4,0.0,0.2,-0.6,-0.4,-0.2
160548,5,2,0,1,8,0.625,-0.375,0.4,-0.4,-0.4,0.7,0.4,-0.2,-0.2,-0.1,0.2,-0.4,0.2
19842,11,5,0,0,16,0.6875,-0.375,0.2,-0.4,-0.2,0.1,0.4,-0.4,-0.4,-0.2,-0.6,-0.4,0.0
186807,3,0,0,5,8,0.375,-0.375,-0.1,-0.4,-0.8,0.1,0.4,-0.4,-0.2,0.4,-0.5,-0.4,-0.2
67677,5,2,0,1,8,0.625,-0.375,0.2,-0.4,-0.5,0.5,0.4,-0.4,0.5,-0.7,-0.6,-0.4,-1.0
99032,5,2,0,1,8,0.625,-0.375,0.1,-0.4,-0.6,0.3,0.2,-0.4,0.3,-0.5,0.0,-0.4,-0.6
170493,5,2,0,1,8,0.625,-0.375,-0.1,-0.4,-0.6,-0.1,0.2,-0.4,0.0,-0.4,-0.4,-0.4,-0.6
173728,4,1,0,3,8,0.5,-0.375,0.1,-0.4,-0.8,0.2,-0.2,-0.4,0.3,0.0,-0.4,-0.4,-0.8
201923,5,2,0,1,8,0.625,-0.375,0.4,-0.4,-0.8,-0.1,0.2,-0.4,0.9,-0.2,-0.6,-0.4,-0.6
50730,10,4,0,2,16,0.625,-0.375,-0.5,-0.4,-0.8,0.3,0.6,-0.4,0.0,0.2,-0.4,-0.4,-0.8
31391,24,11,0,0,35,0.6857142857142857,-0.3714285714285714,0.1,-0.4,-0.4,0.4,0.2,-0.4,0.0,-0.8,-0.6,-0.4,-0.8
57398,24,11,0,0,35,0.6857142857142857,-0.3714285714285714,0.1,-0.4,-0.6,0.6,0.2,-0.4,0.1,-0.6,0.2,-0.4,0.4
100846,31,14,0,1,46,0.6739130434782609,-0.3695652173913043,0.0,-0.4,-0.2,0.4,0.4,-0.2,0.0,-0.2,0.2,-0.4,-0.6
254465,61,27,1,3,92,0.6630434782608695,-0.3695652173913043,-0.4,-0.4,0.2,0.2,0.4,-0.4,0.3,-0.2,0.0,-0.4,-0.5
151139,13,6,0,0,19,0.6842105263157895,-0.3684210526315789,0.1,-0.4,-0.4,0.2,0.2,-0.4,0.1,0.0,-0.4,-0.4,-0.2
242143,13,6,0,0,19,0.6842105263157895,-0.3684210526315789,0.0,-0.4,-0.2,0.3,0.4,-0.4,0.3,0.2,0.2,-0.4,-0.2
26240,13,6,0,0,19,0.6842105263157895,-0.3684210526315789,0.0,-0.4,-0.6,0.2,-0.6,-0.2,0.1,-1.0,-0.6,-0.4,-0.8
24921,13,6,0,0,19,0.6842105263157895,-0.3684210526315789,-0.4,-0.4,-0.4,0.0,0.4,-0.4,0.2,0.0,0.4,-0.4,-0.2
52199,19,8,0,3,30,0.6333333333333333,-0.3666666666666666,0.2,-0.4,-0.8,0.1,0.2,-0.2,0.3,-0.8,0.2,-0.4,-0.8
77491,7,3,0,1,11,0.6363636363636364,-0.3636363636363636,-0.5,-0.4,-0.4,0.4,-0.2,-0.4,-0.2,-0.2,0.2,-0.4,-0.8
204964,7,3,0,1,11,0.6363636363636364,-0.3636363636363636,0.4,-0.4,-0.4,0.3,0.2,-0.4,0.4,0.2,0.6,-0.4,0.2
236757,44,20,0,2,66,0.6666666666666666,-0.3636363636363636,-0.1,-0.4,-0.6,0.8,0.2,-0.4,0.6,-0.2,-0.4,-0.4,-0.6
