,count,Random,MostPop,UserKNN,MF,PMF,BPR,NMF,WMF,PF,NeuMF,VAECF
3406,0.0114815979867882,8,0,72,4,24,0,0,79,207,0,130
9388,0.0114815979867882,5,0,49,2,1,0,0,36,0,0,0
3561,0.0113243158225857,12,0,76,3,0,0,0,69,0,0,176
12526,0.0111670336583831,5,0,92,1,0,0,0,50,239,0,60
10954,0.0111670336583831,11,0,125,19,72,0,0,105,267,0,222
1482,0.0111670336583831,19,0,161,2,5,0,0,103,245,0,114
855,0.0111670336583831,15,0,73,6,72,0,0,62,224,0,139
5600,0.0110097514941805,16,0,47,6,0,0,0,29,50,0,71
2039,0.0110097514941805,8,0,70,8,2,0,0,81,227,0,338
1372,0.0110097514941805,11,0,65,1,2,0,0,70,250,0,3
1262,0.0108524693299779,9,0,39,0,0,0,0,12,33,0,65
960,0.0108524693299779,4,0,158,7,10,0,0,81,0,0,223
6359,0.0106951871657754,7,0,161,2,32,0,0,138,178,0,469
2766,0.0106951871657754,9,0,77,27,0,0,0,56,60,0,64
4717,0.0106951871657754,4,0,174,0,16,0,0,74,139,0,280
3074,0.0106951871657754,9,0,89,130,456,0,0,175,249,0,0
1385,0.0106951871657754,15,0,49,56,212,0,5,129,230,0,0
1566,0.0106951871657754,12,0,61,4,0,0,0,53,189,0,0
172,0.0106951871657754,13,0,125,18,1,0,0,106,156,0,28
10218,0.0105379050015728,12,0,62,2,0,0,0,27,131,0,1
2831,0.0105379050015728,20,0,99,16,0,0,0,133,313,0,431
4715,0.0105379050015728,11,0,131,28,10,0,0,115,51,0,55
17446,0.0105379050015728,10,0,119,12,0,0,0,95,238,0,3
3526,0.0103806228373702,13,0,80,36,0,0,0,67,68,0,0
11165,0.0103806228373702,6,0,53,11,2,0,0,82,225,0,0
1307,0.0103806228373702,12,0,157,3,0,0,0,113,208,0,243
1863,0.0103806228373702,11,0,97,41,0,0,0,62,242,0,1
1119,0.0103806228373702,13,0,57,4,189,0,0,37,46,0,0
2888,0.0102233406731676,10,0,86,89,18,0,0,119,136,0,27
9720,0.0102233406731676,11,0,87,1,32,0,0,49,0,0,0
14197,0.0102233406731676,7,0,106,11,60,0,0,73,187,0,314
1151,0.0102233406731676,12,0,59,24,396,0,0,78,257,0,0
791,0.010066058508965,12,0,57,1,0,0,0,55,223,0,0
2918,0.010066058508965,6,0,50,3,2,0,0,49,0,0,1
2977,0.010066058508965,9,0,63,8,136,0,0,52,0,0,42
8836,0.010066058508965,14,0,99,143,1193,0,0,223,189,0,265
8758,0.0099087763447625,7,0,84,29,35,0,0,143,298,0,77
2672,0.0097514941805599,11,0,58,25,38,0,0,124,222,0,0
12873,0.0097514941805599,18,0,40,0,0,0,0,18,135,0,0
1006,0.0097514941805599,7,0,53,55,1,0,1,78,250,0,0
2908,0.0097514941805599,9,0,71,36,2,0,1,66,178,0,0
9335,0.0097514941805599,12,0,37,0,2,0,0,5,0,0,73
8624,0.0095942120163573,12,0,114,5,3,0,0,54,106,0,8
8623,0.0095942120163573,7,0,136,8,15,0,0,67,145,0,90
3548,0.0095942120163573,10,0,88,112,0,0,7,141,29,0,197
796,0.0095942120163573,4,0,40,9,0,0,3,25,164,0,0
793,0.0095942120163573,14,0,110,8,9,0,0,49,172,0,226
8622,0.0095942120163573,13,0,151,2,30,0,0,98,185,0,57
1075,0.0095942120163573,10,0,68,51,66,0,4,110,288,0,3
3051,0.0095942120163573,8,0,99,2,1,0,0,42,225,0,0
9716,0.0094369298521547,13,0,35,6,48,0,0,30,57,0,0
958,0.0094369298521547,13,0,78,13,33,0,0,86,97,0,21
3048,0.0094369298521547,13,0,74,0,2,0,0,21,141,0,180
22546,0.0092796476879521,16,0,75,243,1269,0,147,83,94,0,98
1933,0.0092796476879521,11,0,98,7,0,0,0,55,0,0,374
3638,0.0092796476879521,6,0,55,5,0,0,0,73,3,0,268
26244,0.0092796476879521,10,0,52,4,12,0,0,27,0,0,70
9951,0.0092796476879521,9,0,37,32,6,0,0,38,123,0,0
9352,0.0092796476879521,5,0,106,7,61,0,0,67,227,0,2
11978,0.0092796476879521,11,0,50,12,34,0,0,25,176,0,51
388,0.0092796476879521,8,0,63,4,3,0,0,62,107,0,1
790,0.0091223655237496,17,0,54,0,0,0,0,33,218,0,103
3049,0.0091223655237496,9,0,78,0,0,0,0,68,169,0,273
1673,0.0091223655237496,6,0,83,3,0,0,0,18,209,0,50
3949,0.008965083359547,6,0,146,4,0,0,0,163,203,0,433
3581,0.008965083359547,11,0,38,11,0,0,0,30,224,0,0
10212,0.008965083359547,7,0,120,111,267,0,0,111,183,0,17
969,0.008965083359547,9,0,60,8,8,0,2,53,185,0,0
1454,0.0088078011953444,12,0,53,28,37,0,0,40,0,0,0
2909,0.0088078011953444,10,0,42,4,1,0,1,48,0,0,0
1658,0.0088078011953444,14,0,168,1,13,0,0,145,136,0,346
5517,0.0086505190311418,12,0,65,158,1794,0,10,140,160,0,74
3772,0.0086505190311418,19,0,50,6,0,0,0,42,169,0,0
5812,0.0086505190311418,10,0,83,6,0,0,0,89,139,0,147
8932,0.0086505190311418,13,0,47,10,8,0,0,27,45,0,2
2104,0.0086505190311418,8,0,75,11,0,0,2,97,205,0,4
9360,0.0086505190311418,10,0,50,22,0,0,0,70,190,0,0
12349,0.0086505190311418,13,0,49,135,81,0,1,73,141,0,0
12310,0.0084932368669392,11,0,125,55,258,0,43,101,245,0,104
8706,0.0084932368669392,8,0,47,24,25,0,13,42,130,0,0
2697,0.0084932368669392,19,0,62,284,1571,0,0,104,89,0,2
11395,0.0084932368669392,11,0,41,5,8,0,0,9,119,0,33
11622,0.0083359547027367,4,0,48,11,63,0,0,47,109,0,72
2169,0.0083359547027367,9,0,41,11,0,0,0,64,197,0,0
10638,0.0083359547027367,15,0,55,0,1,0,0,12,0,0,3
1767,0.0083359547027367,15,0,59,28,12,0,0,98,135,0,0
6269,0.0083359547027367,13,0,64,1,0,0,0,40,173,0,0
9829,0.0083359547027367,11,0,30,5,11,0,0,45,48,0,0
2188,0.0081786725385341,19,0,48,0,1,0,0,78,109,0,11
1046,0.0081786725385341,22,0,22,3,5,0,0,6,0,0,67
3396,0.0081786725385341,12,0,44,0,0,0,0,36,0,0,0
1547,0.0081786725385341,9,0,54,89,34,0,0,56,179,0,0
17595,0.0081786725385341,10,0,18,0,0,0,0,1,0,0,12
9957,0.0081786725385341,11,0,46,39,0,0,0,23,173,0,1
9338,0.0081786725385341,9,0,96,13,0,0,0,53,76,0,177
3809,0.0081786725385341,10,0,41,3,0,0,0,29,190,0,93
869,0.0081786725385341,12,0,41,0,2,0,0,47,171,0,44
1690,0.0081786725385341,9,0,45,12,16,0,0,74,198,0,0
10615,0.0080213903743315,15,0,77,102,20,0,0,72,217,0,16
9523,0.0080213903743315,13,0,76,77,2,0,0,108,189,0,81
1042,0.0080213903743315,10,0,33,0,38,0,0,17,153,0,0
8712,0.0078641082101289,12,0,32,7,1,0,0,24,0,0,96
2674,0.0078641082101289,22,0,33,12,29,0,1,27,126,0,0
8632,0.0078641082101289,10,0,34,55,77,0,0,65,0,0,0
21752,0.0078641082101289,8,0,39,3,0,0,0,7,153,0,0
3036,0.0078641082101289,11,0,44,81,19,0,8,70,57,0,1
8879,0.0078641082101289,5,0,38,9,0,0,2,28,46,0,4
22625,0.0077068260459263,14,0,38,86,199,0,0,58,0,0,0
2315,0.0077068260459263,10,0,38,1,7,0,0,31,120,0,0
144,0.0077068260459263,9,0,23,1,0,0,0,25,0,0,59
8687,0.0077068260459263,11,0,31,0,0,0,0,15,0,0,130
11526,0.0077068260459263,8,0,55,17,2,0,0,67,0,0,0
11557,0.0077068260459263,10,0,76,0,0,0,0,33,75,0,19
3760,0.0077068260459263,8,0,46,8,44,0,1,38,110,0,63
29,0.0075495438817238,10,0,34,33,0,0,0,64,136,0,0
11646,0.0075495438817238,7,0,57,3,12,0,0,58,46,0,21
1927,0.0075495438817238,12,0,90,0,0,0,0,52,29,0,3
12770,0.0075495438817238,10,0,31,0,4,0,0,9,0,0,1
3543,0.0075495438817238,14,0,40,2,0,0,0,38,42,0,53
16444,0.0075495438817238,8,0,58,3,0,0,0,37,0,0,0
6255,0.0075495438817238,10,0,65,2,7,0,0,44,107,0,0
1256,0.0075495438817238,11,0,35,5,0,0,0,2,0,0,0
4014,0.0075495438817238,15,0,18,0,39,0,0,6,0,0,82
9013,0.0073922617175212,10,0,43,36,167,0,1,48,188,0,120
6249,0.0073922617175212,11,0,40,0,5,0,0,21,78,0,0
8629,0.0073922617175212,7,0,50,4,0,0,0,23,0,0,0
3081,0.0073922617175212,10,0,33,4,0,0,0,31,0,0,0
8904,0.0073922617175212,9,0,53,15,0,0,0,75,179,0,0
18148,0.0073922617175212,8,0,60,7,96,0,1,52,86,0,0
2267,0.0073922617175212,7,0,29,0,9,0,1,10,54,0,18
8695,0.0073922617175212,16,0,29,3,0,0,0,15,144,0,0
9681,0.0073922617175212,15,0,107,0,12,0,0,88,96,0,343
4698,0.0072349795533186,14,0,43,199,550,0,183,47,150,0,0
163,0.0072349795533186,12,0,23,2,0,0,0,14,0,0,0
1106,0.0072349795533186,15,0,61,0,0,0,0,52,55,0,17
8868,0.0072349795533186,11,0,59,3,0,0,0,54,41,0,0
8902,0.0072349795533186,11,0,36,6,1,0,0,34,0,0,0
9101,0.0072349795533186,11,0,31,10,0,0,1,10,0,0,12
3759,0.0072349795533186,10,0,25,18,11,0,0,11,0,0,0
10938,0.0072349795533186,10,0,30,119,0,0,5,56,0,0,3
8684,0.0072349795533186,11,0,25,3,0,0,0,12,0,0,3
792,0.0072349795533186,10,0,64,14,0,0,0,51,105,0,16
1670,0.007077697389116,12,0,51,0,0,0,0,31,55,0,0
408,0.007077697389116,11,0,39,2,0,0,0,10,0,0,2
16074,0.007077697389116,13,0,85,3,44,0,0,56,141,0,225
2270,0.007077697389116,8,0,46,4,1,0,0,41,165,0,0
9530,0.007077697389116,9,0,41,6,20,0,0,19,0,0,0
3322,0.007077697389116,9,0,32,19,0,0,0,23,0,0,0
3324,0.007077697389116,20,0,30,16,5,0,0,24,0,0,0
22711,0.007077697389116,11,0,25,6,0,0,2,6,0,0,0
5502,0.007077697389116,14,0,22,1,0,0,0,11,128,0,0
19198,0.007077697389116,14,0,40,2,0,0,1,31,58,0,0
9354,0.007077697389116,12,0,35,3,0,0,0,35,163,0,22
3026,0.007077697389116,9,0,36,1,0,0,0,41,183,0,0
6572,0.007077697389116,9,0,25,0,0,0,0,14,0,0,0
14616,0.0069204152249134,6,0,31,3,0,0,0,30,124,0,0
2738,0.0069204152249134,11,0,29,35,85,0,0,24,90,0,0
1105,0.0069204152249134,11,0,64,1,0,0,0,48,0,0,46
34,0.0069204152249134,8,0,53,2,8,0,0,38,145,0,0
6258,0.0069204152249134,14,0,41,1,2,0,0,13,114,0,0
1069,0.0069204152249134,10,0,36,31,179,0,45,45,0,0,1
2022,0.0069204152249134,12,0,70,0,0,0,0,42,101,0,0
8,0.0069204152249134,10,0,18,2,0,0,0,14,0,0,0
16254,0.0069204152249134,9,0,30,12,36,0,1,32,0,0,0
1617,0.0069204152249134,5,0,50,581,335,0,3,97,180,0,80
1177,0.0069204152249134,22,0,36,0,1,0,0,42,0,0,0
3050,0.0069204152249134,14,0,67,9,26,0,0,49,34,0,221
17796,0.0069204152249134,12,0,24,0,0,0,0,10,0,0,42
10211,0.0067631330607109,12,0,30,2,21,0,0,21,0,0,0
1115,0.0067631330607109,12,0,22,33,0,0,12,13,0,0,0
18980,0.0067631330607109,18,0,36,5,0,0,0,41,135,0,0
6250,0.0067631330607109,11,0,54,9,0,0,1,67,138,0,83
1934,0.0067631330607109,7,0,77,0,0,0,0,33,150,0,69
1534,0.0067631330607109,6,0,65,0,0,0,0,84,4,0,7
