,num_female,num_male,num_other,num_unknown,num_total,ratio_female,male_female_difference,new_male_female_difference_Random,new_male_female_difference_MostPop,new_male_female_difference_UserKNN,new_male_female_difference_MF,new_male_female_difference_PMF,new_male_female_difference_BPR,new_male_female_difference_NMF,new_male_female_difference_WMF,new_male_female_difference_PF,new_male_female_difference_NeuMF,new_male_female_difference_VAECF
70594,9,43,0,5,57,0.1578947368421052,0.5964912280701754,0.12,0.09,0.21,0.15,0.05,0.07,0.34,0.34,-0.12,0.08,-0.32
229899,1,4,0,0,5,0.2,0.6,0.13,0.09,0.34,0.33,0.38,0.07,0.18,0.33,0.22,0.08,0.38
122671,1,4,0,0,5,0.2,0.6,0.07,0.09,-0.05,0.23,0.02,0.07,0.2,0.53,-0.32,0.08,0.28
250219,1,4,0,0,5,0.2,0.6,0.07,0.09,0.21,0.25,-0.07,0.07,0.18,0.41,0.01,0.08,0.55
189789,0,3,0,2,5,0.0,0.6,0.02,0.09,0.2,0.28,0.16,0.09,0.3,0.05,-0.1,0.08,-0.07
21708,1,4,0,0,5,0.2,0.6,0.02,0.09,0.12,0.2,0.35,0.07,0.21,-0.01,0.05,0.08,0.55
80075,1,4,0,0,5,0.2,0.6,0.07,0.09,0.0,0.29,0.18,0.07,0.1,-0.21,-0.22,0.08,0.53
8089,1,4,0,0,5,0.2,0.6,-0.06,0.09,0.08,0.2,0.11,0.07,0.07,0.03,0.04,0.08,0.25
146641,1,4,0,0,5,0.2,0.6,-0.03,0.09,0.09,0.31,-0.08,0.07,0.26,-0.1,0.27,0.08,0.15
20032,1,4,0,0,5,0.2,0.6,0.09,0.09,0.34,0.22,0.27,0.07,0.33,0.39,0.33,0.08,0.41
33270,1,4,0,0,5,0.2,0.6,-0.02,0.09,0.39,0.15,0.19,0.07,0.31,-0.01,0.21,0.08,0.46
114452,1,4,0,0,5,0.2,0.6,-0.09,0.09,0.18,0.28,0.3,0.07,0.23,0.23,0.0,0.08,0.27
79754,1,4,0,0,5,0.2,0.6,-0.08,0.09,0.25,0.16,0.22,0.07,0.26,0.39,-0.09,0.08,0.49
100984,1,4,0,0,5,0.2,0.6,0.06,0.09,0.24,0.3,0.05,0.07,0.18,0.1,0.36,0.08,-0.15
228652,1,4,0,0,5,0.2,0.6,-0.07,0.09,0.28,0.22,0.16,0.07,0.1,0.31,-0.02,0.08,0.47
79366,1,4,0,0,5,0.2,0.6,0.08,0.09,0.27,0.17,0.34,0.07,0.21,-0.19,-0.03,0.08,0.09
145887,1,4,0,0,5,0.2,0.6,0.12,0.09,-0.14,0.2,-0.03,0.07,0.24,-0.14,-0.05,0.08,-0.22
144632,1,4,0,0,5,0.2,0.6,0.2,0.09,0.1,0.09,0.03,0.07,0.17,-0.36,0.32,0.08,0.02
123115,1,4,0,0,5,0.2,0.6,-0.11,0.09,0.08,0.15,0.2,0.07,0.18,0.0,-0.01,0.08,0.2
240111,1,4,0,0,5,0.2,0.6,-0.05,0.09,-0.04,0.21,0.11,0.07,0.3,0.14,-0.12,0.08,0.45
78719,2,8,0,0,10,0.2,0.6,0.03,0.09,0.4,0.19,0.06,0.07,0.11,-0.02,-0.14,0.08,0.6
188878,1,4,0,0,5,0.2,0.6,0.14,0.09,0.12,0.14,0.17,0.07,0.25,0.21,-0.05,0.08,0.05
145218,1,4,0,0,5,0.2,0.6,0.02,0.09,0.06,0.17,0.21,0.07,0.26,0.05,0.08,0.08,0.05
78229,1,4,0,0,5,0.2,0.6,0.03,0.09,0.25,0.13,0.16,0.07,0.18,0.16,0.27,0.08,0.02
78007,1,4,0,0,5,0.2,0.6,0.05,0.09,0.16,0.08,0.05,0.07,0.22,-0.21,0.34,0.08,0.21
239609,1,4,0,0,5,0.2,0.6,0.06,0.09,0.05,0.27,0.04,0.07,0.26,0.26,-0.26,0.08,0.55
229448,1,4,0,0,5,0.2,0.6,0.06,0.09,0.29,0.28,0.31,0.07,0.05,0.05,-0.19,0.08,0.37
137968,1,4,0,0,5,0.2,0.6,-0.08,0.09,0.16,0.16,0.11,0.07,0.22,0.56,-0.14,0.08,0.43
34932,1,7,0,2,10,0.1,0.6,-0.03,0.09,0.35,0.21,0.0,0.07,0.25,0.55,0.01,0.08,0.56
271284,1,4,0,0,5,0.2,0.6,-0.03,0.09,0.6,0.24,0.02,0.07,0.12,0.35,0.01,0.08,0.56
203973,1,4,0,0,5,0.2,0.6,-0.03,0.09,0.05,0.28,0.2,0.07,0.14,-0.05,-0.22,0.08,-0.09
79055,1,4,0,0,5,0.2,0.6,0.12,0.09,0.21,0.21,0.2,0.07,0.19,0.1,0.02,0.08,-0.1
253403,0,3,0,2,5,0.0,0.6,0.03,0.09,0.43,0.35,0.22,0.07,0.29,0.19,-0.16,0.08,0.29
270211,1,4,0,0,5,0.2,0.6,0.02,0.09,0.31,0.21,0.09,0.07,0.25,0.23,0.03,0.08,0.17
270829,1,4,0,0,5,0.2,0.6,0.04,0.09,0.4,0.25,0.14,0.07,0.26,-0.11,0.03,0.08,0.55
68767,1,4,0,0,5,0.2,0.6,0.03,0.09,0.13,0.24,0.22,0.07,0.07,-0.06,0.23,0.08,0.15
143009,1,4,0,0,5,0.2,0.6,0.02,0.09,0.12,0.28,-0.09,0.07,0.19,-0.02,0.03,0.08,0.24
72742,1,4,0,0,5,0.2,0.6,-0.13,0.09,0.39,0.14,0.28,0.07,0.15,0.41,0.33,0.08,0.31
236618,1,4,0,0,5,0.2,0.6,0.02,0.09,0.01,0.1,0.2,0.07,0.21,-0.04,0.2,0.08,-0.06
257777,1,4,0,0,5,0.2,0.6,0.05,0.09,-0.01,0.21,0.11,0.07,0.21,0.06,-0.14,0.08,-0.22
68984,5,20,0,0,25,0.2,0.6,0.01,0.09,0.26,0.24,0.15,0.07,0.17,0.08,0.09,0.08,-0.16
200993,0,3,0,2,5,0.0,0.6,-0.09,0.09,0.21,0.24,0.27,0.07,0.33,0.17,0.01,0.08,0.2
236235,1,4,0,0,5,0.2,0.6,0.22,0.09,0.45,0.3,0.0,0.07,0.16,0.44,-0.42,0.08,0.29
71831,1,4,0,0,5,0.2,0.6,-0.09,0.09,0.01,0.14,0.06,0.07,0.11,0.44,0.08,0.08,0.29
196050,1,4,0,0,5,0.2,0.6,0.04,0.09,0.04,0.24,-0.04,0.07,0.14,0.01,0.06,0.08,-0.18
196052,3,12,0,0,15,0.2,0.6,0.12,0.09,0.15,0.29,0.19,0.07,0.12,0.51,-0.01,0.08,0.48
