,num_USA,num_rest,num_total,ratio_USA,new_ratio_USA_Random,new_ratio_USA_MostPop,new_ratio_USA_UserKNN,new_ratio_USA_MF,new_ratio_USA_PMF,new_ratio_USA_BPR,new_ratio_USA_NMF,new_ratio_USA_WMF,new_ratio_USA_PF,new_ratio_USA_NeuMF,new_ratio_USA_VAECF
148142,0,5,5,0.0,0.8,0.8,0.4,0.5,0.6,0.8,0.7,0.3,0.5,0.8,0.6
239488,0,5,5,0.0,0.7,0.8,0.6,0.5,0.6,0.8,0.6,0.5,0.9,0.8,0.9
40795,0,4,4,0.0,0.8,0.8,0.1,0.5,0.3,0.8,0.6,0.0,0.2,0.8,0.1
169600,0,7,7,0.0,0.6,0.8,0.1,0.4,0.4,0.8,0.5,0.1,0.3,0.8,0.3
171011,0,6,6,0.0,0.7,0.8,0.1,0.5,0.4,0.8,0.7,0.1,0.2,0.8,0.3
84910,0,5,5,0.0,0.7,0.8,0.0,0.4,0.5,0.8,0.8,0.2,0.3,0.8,0.8
84866,0,4,4,0.0,0.9,0.8,0.4,0.7,0.6,0.8,0.7,0.4,0.8,0.8,0.7
256298,0,1,1,0.0,0.5,0.8,0.7,0.5,0.7,0.8,0.8,0.7,0.8,0.8,1.0
199795,0,5,5,0.0,0.9,0.8,0.5,0.5,0.4,0.8,0.7,0.5,1.0,0.8,0.9
75115,0,4,4,0.0,0.6,0.8,0.3,0.4,0.7,0.8,0.6,0.3,0.9,0.8,0.5
195247,0,2,2,0.0,0.6,0.8,0.5,0.5,0.7,0.8,0.5,0.7,0.8,0.8,0.7
137803,0,6,6,0.0,0.8,0.8,0.4,0.5,0.7,0.8,0.4,0.2,0.9,0.8,0.4
194646,0,5,5,0.0,0.5,0.8,0.2,0.6,0.6,0.8,0.5,0.2,0.5,0.8,0.6
275318,0,8,8,0.0,0.6,0.8,0.0,0.4,0.6,0.8,0.5,0.1,0.4,0.8,0.3
138073,0,3,3,0.0,0.8,0.8,0.3,0.4,0.7,0.8,0.6,0.5,0.6,0.8,0.7
26145,1,11,12,0.0833333333333333,0.6,0.8,0.0,0.5,0.7,0.8,0.6,0.0,0.3,0.8,1.0
263107,1,11,12,0.0833333333333333,0.8,0.8,0.4,0.4,0.7,0.8,0.5,0.3,0.5,0.8,0.6
11916,1,10,11,0.0909090909090909,0.7,0.8,0.1,0.7,0.6,0.8,0.3,0.3,0.5,0.8,0.3
