,num_USA,num_rest,num_total,ratio_USA,new_ratio_USA_Random,new_ratio_USA_MostPop,new_ratio_USA_UserKNN,new_ratio_USA_MF,new_ratio_USA_PMF,new_ratio_USA_BPR,new_ratio_USA_NMF,new_ratio_USA_WMF,new_ratio_USA_PF,new_ratio_USA_NeuMF,new_ratio_USA_VAECF
3167,18,0,18,1.0,0.7,0.77,0.74,0.57,0.61,0.77,0.61,0.81,0.54,0.75,0.48
273869,5,0,5,1.0,0.71,0.77,0.76,0.49,0.68,0.76,0.5,0.73,0.81,0.75,0.78
137627,9,0,9,1.0,0.65,0.77,0.8,0.48,0.57,0.76,0.5,0.78,0.76,0.75,0.75
1409,5,0,5,1.0,0.68,0.77,0.9,0.46,0.59,0.76,0.56,0.89,0.78,0.75,0.98
144062,7,0,7,1.0,0.74,0.77,0.91,0.52,0.63,0.76,0.51,0.79,0.68,0.75,0.82
144229,6,0,6,1.0,0.63,0.77,0.69,0.52,0.54,0.76,0.52,0.75,0.85,0.75,0.75
137434,6,0,6,1.0,0.62,0.77,0.83,0.54,0.51,0.76,0.53,0.6,0.73,0.75,0.75
137211,16,0,16,1.0,0.66,0.77,0.81,0.57,0.57,0.76,0.54,0.94,0.88,0.75,0.82
137143,5,0,5,1.0,0.68,0.77,0.94,0.54,0.72,0.76,0.57,0.77,0.88,0.75,0.96
144632,5,0,5,1.0,0.69,0.77,0.91,0.59,0.54,0.76,0.54,0.77,0.69,0.75,0.96
137134,5,0,5,1.0,0.63,0.77,0.87,0.45,0.7,0.76,0.58,0.83,0.82,0.75,0.89
1903,9,0,9,1.0,0.63,0.77,0.7,0.57,0.53,0.76,0.63,0.69,0.68,0.75,0.62
144707,8,0,8,1.0,0.7,0.77,0.76,0.56,0.68,0.76,0.51,0.79,0.74,0.75,0.94
136735,8,0,8,1.0,0.68,0.77,0.95,0.65,0.8,0.76,0.62,0.95,0.7,0.75,0.96
144953,5,0,5,1.0,0.7,0.77,0.94,0.51,0.53,0.76,0.53,0.91,0.91,0.75,0.97
2287,6,0,6,1.0,0.68,0.77,0.88,0.52,0.59,0.76,0.53,0.77,0.8,0.75,0.84
2288,6,0,6,1.0,0.65,0.77,0.87,0.53,0.6,0.76,0.61,0.95,0.86,0.75,0.94
274881,7,0,7,1.0,0.63,0.77,0.84,0.56,0.63,0.76,0.54,0.61,0.78,0.75,0.97
21660,5,0,5,1.0,0.7,0.77,0.81,0.55,0.63,0.76,0.58,0.86,0.76,0.75,0.88
11708,6,0,6,1.0,0.67,0.77,0.79,0.52,0.63,0.76,0.62,0.71,0.8,0.75,0.76
268691,7,0,7,1.0,0.71,0.77,0.81,0.59,0.63,0.76,0.56,0.71,0.84,0.75,0.7
18203,6,0,6,1.0,0.58,0.77,0.93,0.47,0.6,0.76,0.46,0.93,0.75,0.75,0.94
18439,7,0,7,1.0,0.66,0.77,0.85,0.49,0.6,0.76,0.57,0.81,0.76,0.75,0.83
123160,6,0,6,1.0,0.71,0.77,0.87,0.5,0.54,0.76,0.57,0.88,0.84,0.75,0.88
18689,5,0,5,1.0,0.71,0.77,0.78,0.5,0.63,0.76,0.5,0.79,0.7,0.75,0.9
161744,7,0,7,1.0,0.68,0.77,0.87,0.5,0.72,0.76,0.58,0.89,0.87,0.75,0.9
263663,10,0,10,1.0,0.64,0.77,0.75,0.58,0.67,0.76,0.63,0.78,0.65,0.75,0.79
123228,6,0,6,1.0,0.69,0.77,0.9,0.52,0.82,0.76,0.54,0.78,0.89,0.75,0.97
106302,6,0,6,1.0,0.68,0.77,0.78,0.49,0.59,0.76,0.52,0.66,0.89,0.75,0.94
19362,6,0,6,1.0,0.64,0.77,0.95,0.54,0.7,0.76,0.57,0.95,0.79,0.75,0.98
19429,8,0,8,1.0,0.7,0.77,0.99,0.52,0.76,0.76,0.57,0.96,0.93,0.75,0.95
161752,9,0,9,1.0,0.65,0.77,0.81,0.58,0.57,0.76,0.55,0.73,0.82,0.75,0.97
19503,6,0,6,1.0,0.76,0.77,0.78,0.52,0.53,0.76,0.57,0.69,0.79,0.75,0.81
161870,5,0,5,1.0,0.69,0.77,0.84,0.58,0.75,0.76,0.69,0.64,0.77,0.75,0.74
263321,8,0,8,1.0,0.66,0.77,0.8,0.55,0.61,0.76,0.54,0.8,0.78,0.75,0.98
19145,7,0,7,1.0,0.79,0.77,0.79,0.54,0.59,0.76,0.59,0.62,0.77,0.75,0.66
19571,6,0,6,1.0,0.64,0.77,0.73,0.46,0.86,0.76,0.56,0.66,0.76,0.75,0.85
161385,5,0,5,1.0,0.62,0.77,0.89,0.51,0.63,0.76,0.54,0.96,0.7,0.75,0.86
264464,6,0,6,1.0,0.71,0.77,0.83,0.45,0.62,0.76,0.57,0.71,0.79,0.75,0.81
124488,5,0,5,1.0,0.64,0.77,0.92,0.49,0.6,0.76,0.53,0.94,0.8,0.75,0.88
124474,9,0,9,1.0,0.0,0.77,0.79,0.48,0.54,0.76,0.53,0.86,0.92,0.75,0.87
160231,8,0,8,1.0,0.6,0.77,0.75,0.52,0.58,0.76,0.61,0.82,0.7,0.75,0.81
16798,5,0,5,1.0,0.7,0.77,0.82,0.48,0.52,0.76,0.52,0.72,0.8,0.75,0.79
160344,6,0,6,1.0,0.61,0.77,0.86,0.51,0.62,0.76,0.55,0.79,0.75,0.75,0.86
124207,5,0,5,1.0,0.65,0.77,0.93,0.51,0.53,0.76,0.51,0.94,0.89,0.75,0.91
123430,16,0,16,1.0,0.66,0.77,0.83,0.6,0.78,0.76,0.62,0.98,0.71,0.75,0.98
160735,17,0,17,1.0,0.65,0.77,0.88,0.47,0.7,0.76,0.59,0.89,0.82,0.75,0.98
160746,6,0,6,1.0,0.65,0.77,0.88,0.49,0.72,0.76,0.6,0.84,0.89,0.75,0.89
160878,5,0,5,1.0,0.64,0.77,0.75,0.53,0.69,0.76,0.59,0.79,0.71,0.75,0.93
160994,7,0,7,1.0,0.72,0.77,0.74,0.47,0.72,0.76,0.51,0.7,0.79,0.75,0.77
264628,5,0,5,1.0,0.63,0.77,0.77,0.52,0.87,0.76,0.58,0.81,0.71,0.75,0.83
161234,12,0,12,1.0,0.81,0.77,0.81,0.53,0.59,0.76,0.56,0.78,0.72,0.75,0.85
123510,13,0,13,1.0,0.75,0.77,0.76,0.5,0.58,0.76,0.51,0.73,0.64,0.75,0.87
17159,5,0,5,1.0,0.66,0.77,0.83,0.56,0.68,0.76,0.57,0.88,0.78,0.75,0.87
19659,5,0,5,1.0,0.67,0.77,0.84,0.54,0.7,0.76,0.6,0.84,0.71,0.75,0.89
161880,6,0,6,1.0,0.69,0.77,0.77,0.49,0.69,0.76,0.51,0.71,0.81,0.75,0.74
263078,6,0,6,1.0,0.76,0.77,0.78,0.54,0.59,0.76,0.64,0.66,0.83,0.75,0.74
121167,8,0,8,1.0,0.69,0.77,0.78,0.6,0.68,0.76,0.55,0.65,0.77,0.75,0.67
163194,6,0,6,1.0,0.72,0.77,0.96,0.54,0.79,0.76,0.65,0.76,0.81,0.75,0.87
121166,6,0,6,1.0,0.61,0.77,0.9,0.49,0.63,0.76,0.55,0.7,0.7,0.75,0.78
121083,8,0,8,1.0,0.67,0.77,0.92,0.51,0.73,0.76,0.52,0.82,0.86,0.75,0.98
120807,7,0,7,1.0,0.7,0.77,0.66,0.49,0.55,0.76,0.55,0.63,0.77,0.75,0.83
163430,8,0,8,1.0,0.64,0.77,0.86,0.53,0.6,0.76,0.52,0.82,0.82,0.75,0.94
121405,5,0,5,1.0,0.71,0.77,0.93,0.49,0.64,0.76,0.53,0.95,0.98,0.75,0.98
261185,5,0,5,1.0,0.65,0.77,0.9,0.57,0.6,0.76,0.54,0.96,0.73,0.75,0.95
120735,7,0,7,1.0,0.64,0.77,0.85,0.51,0.76,0.76,0.62,0.79,0.87,0.75,0.89
163443,6,0,6,1.0,0.72,0.77,0.89,0.51,0.57,0.76,0.57,0.92,0.84,0.75,0.96
163579,7,0,7,1.0,0.0,0.77,0.81,0.53,0.64,0.76,0.58,0.76,0.71,0.75,0.98
163600,8,0,8,1.0,0.68,0.77,0.87,0.53,0.73,0.76,0.59,0.92,0.87,0.75,0.97
21356,18,0,18,1.0,0.68,0.77,0.81,0.47,0.73,0.76,0.54,0.75,0.73,0.75,0.77
163759,5,0,5,1.0,0.71,0.77,0.92,0.5,0.67,0.76,0.52,0.94,0.91,0.75,0.96
21049,5,0,5,1.0,0.7,0.77,0.81,0.52,0.55,0.76,0.54,0.7,0.76,0.75,0.94
262151,7,0,7,1.0,0.67,0.77,0.79,0.55,0.53,0.76,0.49,0.8,0.94,0.75,0.82
20484,6,0,6,1.0,0.7,0.77,0.8,0.45,0.56,0.76,0.56,0.85,0.77,0.75,0.96
162762,6,0,6,1.0,0.66,0.77,0.75,0.55,0.82,0.76,0.68,0.63,0.78,0.75,0.72
122883,6,0,6,1.0,0.64,0.77,0.82,0.52,0.76,0.76,0.6,0.62,0.77,0.75,0.84
19760,5,0,5,1.0,0.75,0.77,0.74,0.47,0.65,0.76,0.55,0.64,0.72,0.75,0.84
162121,6,0,6,1.0,0.74,0.77,0.85,0.49,0.6,0.76,0.57,0.82,0.7,0.75,0.88
19972,5,0,5,1.0,0.7,0.77,0.78,0.5,0.72,0.76,0.6,0.76,0.76,0.75,0.85
162219,9,0,9,1.0,0.72,0.77,0.8,0.54,0.61,0.76,0.61,0.7,0.79,0.75,0.41
122643,5,0,5,1.0,0.67,0.77,0.8,0.47,0.59,0.76,0.57,0.75,0.78,0.75,0.81
