,num_female,num_male,num_other,num_unknown,num_total,ratio_female,male_female_difference,new_male_female_difference_Random,new_male_female_difference_MostPop,new_male_female_difference_UserKNN,new_male_female_difference_MF,new_male_female_difference_PMF,new_male_female_difference_BPR,new_male_female_difference_NMF,new_male_female_difference_WMF,new_male_female_difference_PF,new_male_female_difference_NeuMF,new_male_female_difference_VAECF
5746,5,0,0,0,5,1.0,-1.0,0.8,-0.4,-0.8,0.3,0.4,-0.4,-0.2,0.0,0.2,-0.4,0.0
268282,5,0,0,0,5,1.0,-1.0,0.2,-0.4,-1.0,0.5,0.6,-0.2,-0.1,-0.8,0.2,-0.4,-1.0
66953,6,0,0,0,6,1.0,-1.0,0.0,-0.4,-1.0,0.0,0.2,-0.4,-0.4,-0.6,-0.4,-0.4,0.4
203392,5,0,0,0,5,1.0,-1.0,0.0,-0.4,-0.6,-0.1,0.0,-0.4,0.3,-1.0,0.0,-0.4,-0.2
66485,1,0,0,0,1,1.0,-1.0,0.1,-0.4,-0.6,0.1,0.4,-0.4,-0.2,0.0,0.4,-0.4,-0.4
66483,4,0,0,0,4,1.0,-1.0,-0.3,-0.4,-0.4,-0.1,0.2,-0.4,-0.6,-0.1,0.6,-0.4,0.4
206058,5,0,0,0,5,1.0,-1.0,0.3,-0.4,-1.0,-0.1,0.0,-0.2,0.4,0.2,0.2,-0.4,-0.4
63506,5,0,0,0,5,1.0,-1.0,0.2,-0.4,-0.4,0.2,0.4,-0.4,0.1,-0.4,0.4,-0.4,1.0
62582,8,0,0,0,8,1.0,-1.0,0.4,-0.4,-1.0,0.5,0.0,-0.2,-0.2,-1.0,-0.6,-0.4,-1.0
207450,6,0,0,0,6,1.0,-1.0,-0.4,-0.4,-0.8,0.3,0.2,-0.4,0.5,-0.4,0.8,-0.4,-1.0
62150,2,0,0,0,2,1.0,-1.0,0.2,-0.4,-0.3,0.1,0.2,-0.2,0.1,-0.1,0.6,-0.4,-0.4
61835,5,0,0,0,5,1.0,-1.0,0.4,-0.4,-0.6,0.1,0.4,-0.4,-0.1,-0.2,0.6,-0.4,-0.4
207860,5,0,0,0,5,1.0,-1.0,-0.7,-0.4,-1.0,0.4,-0.2,-0.2,0.1,-1.0,-0.6,-0.4,-1.0
208077,10,0,0,0,10,1.0,-1.0,-0.3,-0.4,-0.8,0.0,0.6,-0.4,0.4,-1.0,-0.4,-0.4,-0.8
