,num_USA,num_rest,num_total,ratio_USA,new_ratio_USA_Random,new_ratio_USA_MostPop,new_ratio_USA_UserKNN,new_ratio_USA_MF,new_ratio_USA_PMF,new_ratio_USA_BPR,new_ratio_USA_NMF,new_ratio_USA_WMF,new_ratio_USA_PF,new_ratio_USA_NeuMF,new_ratio_USA_VAECF
163335,0,6,6,0.0,0.67,0.77,0.7,0.54,0.64,0.76,0.6,0.55,0.72,0.75,0.51
40795,0,5,5,0.0,0.72,0.77,0.65,0.51,0.65,0.76,0.56,0.6,0.68,0.75,0.77
240789,0,8,8,0.0,0.68,0.77,0.5,0.56,0.6,0.76,0.55,0.55,0.7,0.75,0.52
120181,0,5,5,0.0,0.66,0.77,0.57,0.46,0.56,0.76,0.54,0.63,0.86,0.75,0.73
239488,0,5,5,0.0,0.74,0.77,0.63,0.53,0.75,0.76,0.58,0.72,0.68,0.75,0.39
165073,0,6,6,0.0,0.7,0.77,0.57,0.48,0.55,0.76,0.53,0.56,0.76,0.75,0.3
46350,0,6,6,0.0,0.68,0.77,0.61,0.51,0.55,0.76,0.5,0.46,0.75,0.75,0.79
268262,0,5,5,0.0,0.64,0.77,0.63,0.52,0.68,0.77,0.54,0.58,0.61,0.75,0.65
166141,0,9,9,0.0,0.63,0.77,0.43,0.51,0.67,0.76,0.61,0.43,0.69,0.75,0.2
84866,0,5,5,0.0,0.72,0.77,0.47,0.51,0.8,0.76,0.67,0.69,0.7,0.75,0.37
84910,0,6,6,0.0,0.69,0.77,0.57,0.55,0.61,0.76,0.57,0.53,0.76,0.75,0.63
260473,0,5,5,0.0,0.66,0.77,0.65,0.51,0.73,0.76,0.56,0.53,0.78,0.75,0.58
194646,0,7,7,0.0,0.69,0.77,0.55,0.52,0.53,0.76,0.54,0.45,0.76,0.75,0.32
184985,0,5,5,0.0,0.67,0.77,0.49,0.55,0.73,0.76,0.61,0.65,0.74,0.75,0.42
195247,0,5,5,0.0,0.68,0.77,0.32,0.49,0.59,0.76,0.61,0.33,0.22,0.75,0.29
140863,0,5,5,0.0,0.67,0.77,0.43,0.47,0.61,0.76,0.61,0.51,0.72,0.75,0.28
93018,0,9,9,0.0,0.71,0.77,0.23,0.47,0.54,0.76,0.6,0.29,0.23,0.75,0.38
93147,0,7,7,0.0,0.69,0.77,0.37,0.51,0.61,0.76,0.6,0.37,0.63,0.75,0.13
