,count,Random,MostPop,UserKNN,MF,PMF,BPR,NMF,WMF,PF,NeuMF,VAECF
641,0.0144790683034309,8,0,92,88,3,0,0,183,0,0,0
508,0.0143216871262197,9,0,73,10,7,0,0,53,138,0,0
985,0.0143216871262197,12,0,69,96,100,0,6,166,0,0,0
447,0.0143216871262197,9,0,89,24,1,0,3,99,0,0,71
50,0.0143216871262197,13,0,83,8,30,0,0,47,181,0,1
579,0.0143216871262197,15,0,159,120,392,0,0,356,202,0,151
421,0.0141643059490084,5,0,77,11,14,0,0,91,230,0,126
742,0.0141643059490084,14,0,133,4,2,0,0,71,274,0,452
625,0.0141643059490084,12,0,104,127,34,0,0,336,155,0,20
259,0.0140069247717972,12,0,157,12,43,0,0,125,238,0,279
689,0.013849543594586,18,0,59,21,6,0,0,83,0,0,0
438,0.013849543594586,13,0,90,99,19,0,35,182,364,0,23
821,0.013849543594586,10,0,92,39,4,0,0,205,0,0,66
1091,0.0136921624173748,11,0,60,8,0,0,0,66,0,0,25
53,0.0136921624173748,18,0,67,6,0,0,0,135,199,0,0
673,0.0135347812401636,16,0,120,299,500,0,34,154,274,0,498
329,0.0133774000629524,20,0,175,131,307,0,7,120,124,0,9
1352,0.0133774000629524,16,0,163,11,9,0,0,228,111,0,146
445,0.0133774000629524,14,0,107,28,0,0,7,206,271,0,318
1829,0.0133774000629524,17,0,164,13,0,0,0,64,321,0,329
58,0.0133774000629524,13,0,113,11,24,0,0,190,247,0,103
6,0.0133774000629524,7,0,82,9,74,0,0,54,164,0,114
1405,0.0132200188857412,16,0,70,6,0,0,0,46,175,0,212
667,0.0132200188857412,12,0,137,0,4,0,0,59,109,0,224
687,0.0132200188857412,11,0,123,17,1,0,0,243,288,0,40
232,0.0132200188857412,10,0,68,137,3,0,0,211,34,0,0
230,0.0132200188857412,15,0,134,13,0,0,0,106,284,0,349
1030,0.0132200188857412,17,0,176,1,5,0,0,99,299,0,258
913,0.01306263770853,13,0,88,183,1,0,5,181,0,0,19
504,0.01306263770853,15,0,81,8,9,0,0,182,236,0,185
655,0.0129052565313188,11,0,63,42,40,0,0,94,0,0,4
1032,0.0129052565313188,10,0,163,2,49,0,0,57,71,0,259
207,0.0127478753541076,17,0,54,20,0,0,0,87,0,0,40
2619,0.0127478753541076,13,0,107,70,3,0,0,222,130,0,67
663,0.0127478753541076,18,0,103,20,0,0,0,54,242,0,23
635,0.0125904941768964,21,0,48,4,0,0,0,30,3,0,5
1721,0.0125904941768964,17,0,43,1,0,0,0,40,0,0,2
568,0.0125904941768964,14,0,96,50,1,0,1,121,2,0,52
1472,0.0125904941768964,12,0,167,5,4,0,0,79,90,0,327
69,0.0125904941768964,8,0,54,18,22,0,0,73,0,0,0
1275,0.0124331129996852,15,0,62,22,0,0,0,51,0,0,39
1098,0.0124331129996852,11,0,49,14,0,0,0,13,88,0,0
889,0.012275731822474,17,0,36,5,2,0,0,31,0,0,0
2494,0.012275731822474,7,0,112,42,6,0,0,68,166,0,139
325,0.012275731822474,12,0,122,24,46,0,0,56,135,0,278
1108,0.012275731822474,20,0,52,1,3,0,0,14,0,0,113
70,0.0121183506452628,12,0,67,26,0,0,0,75,171,0,7
1722,0.0119609694680516,17,0,46,6,14,0,0,5,0,0,70
2605,0.0119609694680516,13,0,130,167,2966,0,5,179,296,0,51
