,num_USA,num_rest,num_total,ratio_USA,new_ratio_USA_Random,new_ratio_USA_MostPop,new_ratio_USA_UserKNN,new_ratio_USA_MF,new_ratio_USA_PMF,new_ratio_USA_BPR,new_ratio_USA_NMF,new_ratio_USA_WMF,new_ratio_USA_PF,new_ratio_USA_NeuMF,new_ratio_USA_VAECF
163335,0,6,6,0.0,1.0,0.8,0.3,0.4,0.5,0.7,0.4,0.4,0.7,0.7,0.1
40795,0,5,5,0.0,0.8,0.8,0.0,0.5,0.6,0.8,0.2,0.3,0.3,0.7,0.1
240789,0,8,8,0.0,0.6,0.8,0.0,0.5,0.5,0.7,0.4,0.1,0.9,0.7,0.4
120181,0,5,5,0.0,1.0,0.8,0.4,0.5,0.4,0.7,0.4,0.1,0.9,0.7,0.6
239488,0,5,5,0.0,1.0,0.8,0.2,0.5,0.6,0.8,0.4,0.3,0.9,0.7,0.2
165073,0,6,6,0.0,0.8,0.8,0.2,0.5,0.6,0.7,0.7,0.3,0.9,0.7,0.2
46350,0,6,6,0.0,0.6,0.8,0.0,0.5,0.4,0.7,0.6,0.1,0.9,0.7,0.6
268262,0,5,5,0.0,0.7,0.8,0.1,0.6,0.4,0.7,0.4,0.0,0.6,0.7,0.3
166141,0,9,9,0.0,0.7,0.8,0.2,0.9,0.7,0.7,0.6,0.3,0.9,0.7,0.1
84866,0,5,5,0.0,0.8,0.8,0.2,0.7,0.7,0.7,0.7,0.4,0.7,0.7,0.2
84910,0,6,6,0.0,0.7,0.8,0.0,0.6,0.5,0.8,0.5,0.0,0.9,0.7,0.9
260473,0,5,5,0.0,0.9,0.8,0.3,0.5,0.7,0.7,0.4,0.4,0.6,0.7,0.6
194646,0,7,7,0.0,0.9,0.8,0.1,0.6,0.2,0.8,0.6,0.1,0.9,0.7,0.3
184985,0,5,5,0.0,0.7,0.8,0.1,0.6,0.8,0.7,0.5,0.4,1.0,0.7,0.3
195247,0,5,5,0.0,0.6,0.8,0.1,0.5,0.7,0.7,0.4,0.0,0.0,0.7,0.0
140863,0,5,5,0.0,0.9,0.8,0.0,0.6,0.5,0.7,0.7,0.1,1.0,0.7,0.2
93018,0,9,9,0.0,0.4,0.8,0.0,0.4,0.6,0.7,0.4,0.0,0.0,0.7,0.0
93147,0,7,7,0.0,0.6,0.8,0.1,0.9,0.4,0.7,0.4,0.0,0.5,0.7,0.2
275318,0,8,8,0.0,0.4,0.8,0.0,0.6,0.9,0.8,0.6,0.1,0.8,0.7,0.8
94023,1,13,14,0.0714285714285714,0.4,0.8,0.2,0.7,0.7,0.7,0.3,0.0,0.0,0.7,0.0
266866,2,25,27,0.074074074074074,0.3,0.8,0.0,0.5,0.9,0.7,0.4,0.0,0.0,0.7,0.0
89207,1,12,13,0.0769230769230769,0.6,0.8,0.1,0.8,0.7,0.8,0.5,0.0,0.0,0.7,0.0
26145,1,12,13,0.0769230769230769,0.9,0.8,0.0,0.5,0.3,0.8,0.2,0.0,0.9,0.7,0.9
70703,1,12,13,0.0769230769230769,0.8,0.8,0.0,0.4,0.6,0.8,0.6,0.1,0.7,0.7,0.0
62303,1,11,12,0.0833333333333333,0.6,0.8,0.1,0.5,0.2,0.7,0.8,0.1,1.0,0.7,0.3
263107,1,11,12,0.0833333333333333,0.9,0.8,0.2,0.5,0.3,0.8,0.6,0.1,0.7,0.7,0.2
172180,1,10,11,0.0909090909090909,0.5,0.8,0.0,0.5,0.7,0.7,0.6,0.0,0.0,0.7,0.0
11916,1,10,11,0.0909090909090909,0.7,0.8,0.2,0.7,0.6,0.7,0.5,0.4,0.6,0.7,0.5
135681,1,9,10,0.1,0.8,0.8,0.6,0.3,0.1,0.7,0.4,0.2,0.7,0.7,0.3
246798,1,9,10,0.1,0.5,0.8,0.5,0.6,0.6,0.8,0.5,0.6,0.5,0.7,0.3
137190,2,16,18,0.1111111111111111,0.7,0.8,0.3,0.6,0.3,0.7,0.5,0.1,0.5,0.7,0.2
95525,1,8,9,0.1111111111111111,0.7,0.8,0.5,0.5,0.5,0.7,0.7,0.1,0.0,0.7,0.3
