,num_female,num_male,num_other,num_unknown,num_total,ratio_female,male_female_difference,new_male_female_difference_Random,new_male_female_difference_MostPop,new_male_female_difference_UserKNN,new_male_female_difference_MF,new_male_female_difference_PMF,new_male_female_difference_BPR,new_male_female_difference_NMF,new_male_female_difference_WMF,new_male_female_difference_PF,new_male_female_difference_NeuMF,new_male_female_difference_VAECF
90232,6,0,0,0,6,1.0,-1.0,0.05,0.09,0.14,0.09,0.38,0.07,0.16,0.33,-0.22,0.08,0.48
89913,6,0,0,0,6,1.0,-1.0,0.05,0.09,-0.17,0.27,-0.06,0.07,0.28,-0.08,-0.2,0.08,-0.16
175205,10,0,0,0,10,1.0,-1.0,-0.03,0.09,-0.77,0.29,0.15,0.07,0.33,-0.55,-0.14,0.08,-0.93
5665,5,0,0,0,5,1.0,-1.0,-0.05,0.09,-0.68,0.35,0.02,0.07,0.32,-0.64,-0.12,0.08,-0.81
233117,8,0,0,0,8,1.0,-1.0,-0.08,0.09,-0.1,0.16,-0.11,0.07,0.2,-0.15,0.04,0.08,0.11
176102,9,0,0,0,9,1.0,-1.0,0.27,0.09,-0.2,0.2,-0.12,0.07,0.23,-0.14,-0.03,0.08,-0.48
5746,5,0,0,0,5,1.0,-1.0,0.11,0.09,-0.17,0.24,0.2,0.07,0.22,0.03,0.12,0.08,0.21
88248,5,0,0,0,5,1.0,-1.0,-0.11,0.09,-0.43,0.15,0.04,0.07,0.13,-0.06,0.14,0.08,-0.36
39928,5,0,0,0,5,1.0,-1.0,-0.04,0.09,-0.29,0.24,0.14,0.07,0.16,-0.56,-0.09,0.08,-0.33
173835,10,0,0,0,10,1.0,-1.0,0.17,0.09,-0.41,0.28,0.1,0.07,0.24,-0.04,-0.16,0.08,-0.47
191775,5,0,0,0,5,1.0,-1.0,-0.08,0.09,-0.53,0.21,0.12,0.07,0.22,-0.25,-0.16,0.08,0.1
45184,9,0,0,0,9,1.0,-1.0,0.12,0.09,-0.4,0.14,-0.06,0.07,0.16,-0.22,-0.06,0.08,-0.44
227054,8,0,0,0,8,1.0,-1.0,0.02,0.09,-0.38,0.33,0.28,0.09,0.3,-0.25,-0.01,0.08,0.15
63506,5,0,0,0,5,1.0,-1.0,0.12,0.09,-0.26,0.26,0.32,0.07,0.25,0.2,0.06,0.08,-0.01
62582,8,0,0,0,8,1.0,-1.0,0.14,0.09,-0.68,0.2,0.25,0.07,0.27,-0.72,-0.37,0.08,-0.93
207349,26,0,0,0,26,1.0,-1.0,-0.02,0.09,-0.81,0.21,0.25,0.07,0.09,-0.92,-0.26,0.08,-0.96
207450,6,0,0,0,6,1.0,-1.0,-0.01,0.09,-0.62,0.16,0.13,0.07,0.09,-0.39,-0.04,0.08,-0.96
222688,8,0,0,0,8,1.0,-1.0,0.06,0.09,-0.72,0.25,0.21,0.07,0.16,-0.62,-0.35,0.08,-0.85
207860,5,0,0,0,5,1.0,-1.0,0.04,0.09,-0.75,0.15,0.24,0.07,0.07,-0.95,-0.4,0.08,-0.88
208077,10,0,0,0,10,1.0,-1.0,0.13,0.09,-0.31,0.29,0.02,0.07,0.22,-0.29,0.12,0.08,-0.68
61845,7,0,0,0,7,1.0,-1.0,0.07,0.09,-0.56,0.32,0.05,0.07,0.08,-0.74,0.45,0.08,-0.92
61835,5,0,0,0,5,1.0,-1.0,0.03,0.09,-0.2,0.26,0.07,0.07,0.15,-0.2,0.13,0.08,-0.26
8930,5,0,0,0,5,1.0,-1.0,0.14,0.09,-0.03,0.2,0.31,0.07,0.11,-0.11,-0.08,0.08,-0.45
208683,12,0,0,0,12,1.0,-1.0,-0.05,0.09,-0.43,0.12,-0.04,0.07,0.23,-0.25,-0.01,0.08,0.13
