,num_USA,num_rest,num_total,ratio_USA,new_ratio_USA_Random,new_ratio_USA_MostPop,new_ratio_USA_UserKNN,new_ratio_USA_MF,new_ratio_USA_PMF,new_ratio_USA_BPR,new_ratio_USA_NMF,new_ratio_USA_WMF,new_ratio_USA_PF,new_ratio_USA_NeuMF,new_ratio_USA_VAECF
212628,8,6,14,0.5714285714285714,0.64,0.77,0.71,0.52,0.56,0.76,0.57,0.76,0.73,0.75,0.77
170742,4,3,7,0.5714285714285714,0.7,0.77,0.78,0.58,0.77,0.76,0.55,0.78,0.83,0.75,0.98
83252,4,3,7,0.5714285714285714,0.73,0.77,0.74,0.46,0.54,0.76,0.58,0.66,0.74,0.75,0.78
108563,4,3,7,0.5714285714285714,0.66,0.77,0.89,0.56,0.63,0.76,0.55,0.89,0.85,0.75,0.9
215278,8,6,14,0.5714285714285714,0.68,0.77,0.63,0.54,0.81,0.76,0.52,0.73,0.82,0.75,0.93
211176,4,3,7,0.5714285714285714,0.78,0.77,0.71,0.67,0.53,0.76,0.64,0.6,0.75,0.75,0.64
141958,12,9,21,0.5714285714285714,0.67,0.77,0.78,0.55,0.5,0.76,0.64,0.74,0.68,0.75,0.89
69252,4,3,7,0.5714285714285714,0.72,0.77,0.78,0.5,0.58,0.76,0.58,0.77,0.89,0.75,0.83
91165,4,3,7,0.5714285714285714,0.78,0.77,0.63,0.59,0.5,0.76,0.52,0.71,0.77,0.75,0.35
101035,4,3,7,0.5714285714285714,0.71,0.77,0.75,0.47,0.7,0.76,0.58,0.73,0.7,0.75,0.79
215986,16,12,28,0.5714285714285714,0.62,0.77,0.67,0.63,0.55,0.76,0.56,0.64,0.73,0.75,0.63
183958,4,3,7,0.5714285714285714,0.71,0.77,0.74,0.48,0.65,0.76,0.5,0.57,0.75,0.75,0.42
101422,4,3,7,0.5714285714285714,0.7,0.77,0.8,0.56,0.76,0.76,0.55,0.81,0.72,0.75,0.75
65946,4,3,7,0.5714285714285714,0.67,0.77,0.71,0.5,0.65,0.76,0.57,0.75,0.84,0.75,0.82
196621,4,3,7,0.5714285714285714,0.58,0.77,0.82,0.51,0.6,0.76,0.57,0.8,0.85,0.75,0.95
271503,4,3,7,0.5714285714285714,0.72,0.77,0.7,0.52,0.55,0.76,0.6,0.68,0.81,0.75,0.35
80690,4,3,7,0.5714285714285714,0.68,0.77,0.6,0.49,0.59,0.76,0.53,0.54,0.67,0.75,0.64
223253,4,3,7,0.5714285714285714,0.67,0.77,0.85,0.52,0.59,0.76,0.53,0.82,0.83,0.75,0.93
79186,4,3,7,0.5714285714285714,0.64,0.77,0.65,0.64,0.73,0.76,0.54,0.71,0.76,0.75,0.76
98547,20,15,35,0.5714285714285714,0.71,0.77,0.79,0.57,0.73,0.76,0.57,0.78,0.71,0.75,0.92
61888,4,3,7,0.5714285714285714,0.74,0.77,0.75,0.5,0.58,0.76,0.58,0.72,0.8,0.75,0.77
218721,4,3,7,0.5714285714285714,0.76,0.77,0.76,0.53,0.67,0.76,0.56,0.7,0.69,0.75,0.81
56804,12,9,21,0.5714285714285714,0.56,0.77,0.76,0.56,0.69,0.76,0.66,0.77,0.81,0.75,0.75
241861,4,3,7,0.5714285714285714,0.73,0.77,0.79,0.48,0.64,0.76,0.52,0.82,0.76,0.75,0.98
122321,4,3,7,0.5714285714285714,0.72,0.77,0.67,0.49,0.57,0.76,0.57,0.74,0.9,0.75,0.84
14049,4,3,7,0.5714285714285714,0.67,0.77,0.74,0.55,0.54,0.76,0.58,0.65,0.74,0.75,0.75
168999,4,3,7,0.5714285714285714,0.66,0.77,0.75,0.65,0.54,0.76,0.56,0.67,0.7,0.75,0.78
114089,4,3,7,0.5714285714285714,0.69,0.77,0.73,0.48,0.59,0.76,0.6,0.71,0.77,0.75,0.81
30657,4,3,7,0.5714285714285714,0.7,0.77,0.88,0.53,0.72,0.76,0.62,0.85,0.89,0.75,0.97
11993,12,9,21,0.5714285714285714,0.64,0.77,0.7,0.5,0.47,0.76,0.53,0.56,0.76,0.75,0.75
15497,4,3,7,0.5714285714285714,0.7,0.77,0.7,0.55,0.63,0.76,0.59,0.58,0.71,0.75,0.76
45064,4,3,7,0.5714285714285714,0.67,0.77,0.67,0.52,0.75,0.76,0.48,0.68,0.75,0.75,0.84
250989,4,3,7,0.5714285714285714,0.69,0.77,0.7,0.49,0.72,0.76,0.57,0.7,0.71,0.75,0.75
228579,8,6,14,0.5714285714285714,0.76,0.77,0.73,0.58,0.75,0.76,0.62,0.79,0.71,0.75,0.83
127168,4,3,7,0.5714285714285714,0.68,0.77,0.69,0.52,0.72,0.76,0.64,0.6,0.68,0.75,0.76
228245,4,3,7,0.5714285714285714,0.63,0.77,0.79,0.53,0.6,0.76,0.61,0.54,0.82,0.75,0.67
145861,4,3,7,0.5714285714285714,0.69,0.77,0.64,0.45,0.55,0.76,0.61,0.59,0.72,0.75,0.69
267061,4,3,7,0.5714285714285714,0.75,0.77,0.86,0.49,0.65,0.76,0.51,0.86,0.77,0.75,0.73
165576,4,3,7,0.5714285714285714,0.67,0.77,0.66,0.5,0.61,0.76,0.49,0.69,0.66,0.75,0.57
120548,4,3,7,0.5714285714285714,0.79,0.77,0.77,0.47,0.49,0.76,0.46,0.74,0.75,0.75,0.69
227702,12,9,21,0.5714285714285714,0.67,0.77,0.72,0.52,0.73,0.76,0.55,0.74,0.78,0.75,0.75
147686,12,9,21,0.5714285714285714,0.73,0.77,0.71,0.55,0.67,0.76,0.57,0.69,0.72,0.75,0.77
14387,8,6,14,0.5714285714285714,0.7,0.77,0.75,0.52,0.66,0.76,0.54,0.66,0.53,0.75,0.7
254467,4,3,7,0.5714285714285714,0.79,0.77,0.73,0.55,0.54,0.76,0.58,0.63,0.7,0.75,0.77
114634,4,3,7,0.5714285714285714,0.73,0.77,0.69,0.5,0.6,0.76,0.58,0.79,0.62,0.75,0.72
155376,4,3,7,0.5714285714285714,0.68,0.77,0.73,0.52,0.65,0.76,0.59,0.68,0.75,0.75,0.75
46197,4,3,7,0.5714285714285714,0.69,0.77,0.61,0.49,0.61,0.76,0.52,0.5,0.29,0.75,0.34
41596,4,3,7,0.5714285714285714,0.64,0.77,0.68,0.53,0.52,0.76,0.6,0.71,0.76,0.75,0.89
253626,4,3,7,0.5714285714285714,0.69,0.77,0.71,0.61,0.61,0.76,0.57,0.69,0.74,0.75,0.71
136313,4,3,7,0.5714285714285714,0.61,0.77,0.68,0.58,0.57,0.76,0.59,0.76,0.71,0.75,0.9
19233,4,3,7,0.5714285714285714,0.74,0.77,0.71,0.52,0.54,0.76,0.59,0.74,0.75,0.75,0.6
266650,8,6,14,0.5714285714285714,0.64,0.77,0.81,0.51,0.54,0.76,0.57,0.73,0.85,0.75,0.59
55927,16,12,28,0.5714285714285714,0.68,0.77,0.72,0.53,0.58,0.76,0.54,0.68,0.78,0.75,0.61
123143,4,3,7,0.5714285714285714,0.66,0.77,0.69,0.62,0.6,0.76,0.59,0.67,0.64,0.75,0.69
35707,4,3,7,0.5714285714285714,0.69,0.77,0.82,0.52,0.68,0.76,0.59,0.62,0.79,0.75,0.84
146421,4,3,7,0.5714285714285714,0.65,0.77,0.76,0.5,0.59,0.76,0.66,0.69,0.72,0.75,0.72
239161,4,3,7,0.5714285714285714,0.67,0.77,0.74,0.52,0.83,0.76,0.57,0.66,0.78,0.75,0.85
260678,4,3,7,0.5714285714285714,0.62,0.77,0.78,0.51,0.58,0.76,0.54,0.73,0.86,0.75,0.84
34526,4,3,7,0.5714285714285714,0.67,0.77,0.63,0.55,0.56,0.76,0.54,0.7,0.68,0.75,0.64
57920,4,3,7,0.5714285714285714,0.64,0.77,0.74,0.5,0.6,0.76,0.53,0.75,0.79,0.75,0.71
239374,4,3,7,0.5714285714285714,0.71,0.77,0.84,0.5,0.76,0.76,0.58,0.7,0.79,0.75,0.85
160378,4,3,7,0.5714285714285714,0.63,0.77,0.66,0.51,0.58,0.76,0.58,0.78,0.67,0.75,0.73
34115,4,3,7,0.5714285714285714,0.72,0.77,0.76,0.51,0.57,0.76,0.5,0.75,0.54,0.75,0.95
244761,4,3,7,0.5714285714285714,0.64,0.77,0.77,0.47,0.72,0.76,0.65,0.7,0.7,0.75,0.65
151263,4,3,7,0.5714285714285714,0.67,0.77,0.75,0.54,0.73,0.76,0.62,0.68,0.74,0.75,0.82
233867,4,3,7,0.5714285714285714,0.65,0.77,0.76,0.51,0.62,0.76,0.5,0.74,0.86,0.75,0.83
21252,8,6,14,0.5714285714285714,0.7,0.77,0.75,0.52,0.47,0.76,0.59,0.73,0.7,0.75,0.81
258160,4,3,7,0.5714285714285714,0.7,0.77,0.73,0.52,0.56,0.76,0.56,0.72,0.81,0.75,0.8
54968,4,3,7,0.5714285714285714,0.72,0.77,0.7,0.57,0.67,0.76,0.53,0.74,0.71,0.75,0.71
37712,56,42,98,0.5714285714285714,0.62,0.77,0.72,0.7,0.63,0.76,0.53,0.66,0.71,0.75,0.79
238540,4,3,7,0.5714285714285714,0.66,0.77,0.69,0.58,0.65,0.76,0.68,0.56,0.6,0.75,0.68
51627,4,3,7,0.5714285714285714,0.6,0.77,0.72,0.52,0.61,0.76,0.65,0.57,0.65,0.75,0.77
20961,4,3,7,0.5714285714285714,0.68,0.77,0.67,0.5,0.62,0.76,0.58,0.72,0.77,0.75,0.67
44837,4,3,7,0.5714285714285714,0.7,0.77,0.74,0.55,0.59,0.76,0.61,0.72,0.75,0.75,0.76
239736,4,3,7,0.5714285714285714,0.72,0.77,0.49,0.57,0.7,0.76,0.55,0.55,0.69,0.75,0.34
238057,8,6,14,0.5714285714285714,0.66,0.77,0.67,0.5,0.64,0.76,0.58,0.65,0.72,0.75,0.65
243942,8,6,14,0.5714285714285714,0.66,0.77,0.81,0.51,0.86,0.76,0.61,0.8,0.75,0.75,0.78
266331,4,3,7,0.5714285714285714,0.68,0.77,0.81,0.6,0.61,0.76,0.61,0.83,0.84,0.75,0.86
38091,4,3,7,0.5714285714285714,0.68,0.77,0.71,0.49,0.78,0.76,0.59,0.72,0.82,0.75,0.81
