,num_USA,num_rest,num_total,ratio_USA,new_ratio_USA_Random,new_ratio_USA_MostPop,new_ratio_USA_UserKNN,new_ratio_USA_MF,new_ratio_USA_PMF,new_ratio_USA_BPR,new_ratio_USA_NMF,new_ratio_USA_WMF,new_ratio_USA_PF,new_ratio_USA_NeuMF,new_ratio_USA_VAECF
212628,8,6,14,0.5714285714285714,0.7,0.8,0.7,0.7,0.2,0.7,0.1,0.4,0.9,0.7,0.8
170742,4,3,7,0.5714285714285714,0.5,0.8,0.8,0.6,0.4,0.7,0.5,0.6,1.0,0.7,1.0
83252,4,3,7,0.5714285714285714,0.8,0.8,0.8,0.5,0.4,0.7,0.4,0.8,0.4,0.7,0.9
108563,4,3,7,0.5714285714285714,0.8,0.8,1.0,0.8,0.9,0.7,0.6,0.8,0.9,0.7,0.9
215278,8,6,14,0.5714285714285714,0.5,0.8,0.6,0.6,0.8,0.7,0.5,0.6,0.7,0.7,0.9
211176,4,3,7,0.5714285714285714,0.6,0.8,0.3,0.8,0.9,0.7,0.8,0.3,0.4,0.7,0.5
141958,12,9,21,0.5714285714285714,0.6,0.8,0.9,0.6,0.2,0.7,0.7,0.6,0.8,0.7,0.9
69252,4,3,7,0.5714285714285714,0.7,0.8,1.0,0.6,0.5,0.7,0.4,0.9,0.8,0.7,0.8
91165,4,3,7,0.5714285714285714,0.7,0.8,0.6,0.5,0.4,0.7,0.5,0.5,0.8,0.7,0.3
101035,4,3,7,0.5714285714285714,0.8,0.8,0.8,0.5,0.5,0.8,0.8,0.7,0.2,0.7,0.9
215986,16,12,28,0.5714285714285714,0.4,0.8,0.3,0.9,0.2,0.7,0.4,0.2,0.3,0.7,0.3
183958,4,3,7,0.5714285714285714,0.7,0.8,0.7,0.6,0.8,0.8,0.3,0.6,0.4,0.7,0.3
101422,4,3,7,0.5714285714285714,0.7,0.8,0.8,0.9,0.8,0.8,0.5,0.8,0.8,0.7,0.7
65946,4,3,7,0.5714285714285714,0.7,0.8,0.7,0.5,1.0,0.7,0.4,0.5,0.9,0.7,0.6
196621,4,3,7,0.5714285714285714,0.6,0.8,0.6,0.5,0.7,0.7,0.5,0.7,0.7,0.7,1.0
271503,4,3,7,0.5714285714285714,0.6,0.8,0.8,0.5,0.3,0.8,0.8,0.4,0.6,0.7,0.2
80690,4,3,7,0.5714285714285714,0.6,0.8,0.6,0.6,0.6,0.8,0.4,0.8,0.8,0.7,0.6
223253,4,3,7,0.5714285714285714,0.4,0.8,0.9,0.5,0.4,0.7,0.7,0.7,0.8,0.7,0.9
79186,4,3,7,0.5714285714285714,0.9,0.8,0.1,0.5,0.6,0.8,0.3,0.5,0.2,0.7,0.7
98547,20,15,35,0.5714285714285714,0.7,0.8,0.8,0.6,0.8,0.8,0.7,0.7,0.8,0.7,1.0
61888,4,3,7,0.5714285714285714,0.7,0.8,0.7,0.6,0.3,0.7,0.4,0.7,0.8,0.7,0.9
218721,4,3,7,0.5714285714285714,0.5,0.8,0.9,0.6,0.9,0.7,0.6,0.7,1.0,0.7,0.8
56804,12,9,21,0.5714285714285714,0.5,0.8,0.8,0.6,0.7,0.8,0.5,0.8,0.9,0.7,0.9
241861,4,3,7,0.5714285714285714,0.5,0.8,0.8,0.6,0.6,0.7,0.6,0.6,0.8,0.7,0.9
122321,4,3,7,0.5714285714285714,0.7,0.8,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.7,0.9
14049,4,3,7,0.5714285714285714,0.8,0.8,0.8,0.6,0.4,0.7,0.5,0.7,0.8,0.7,0.6
168999,4,3,7,0.5714285714285714,0.7,0.8,0.7,0.6,0.7,0.7,0.6,0.7,0.5,0.7,0.9
114089,4,3,7,0.5714285714285714,0.8,0.8,0.7,0.5,0.6,0.8,0.7,0.7,0.8,0.7,0.8
30657,4,3,7,0.5714285714285714,0.9,0.8,1.0,0.7,0.8,0.7,0.8,1.0,1.0,0.7,1.0
11993,12,9,21,0.5714285714285714,0.4,0.8,0.3,0.7,0.7,0.7,0.3,0.5,0.7,0.7,0.1
15497,4,3,7,0.5714285714285714,0.7,0.8,0.9,0.5,0.5,0.7,0.9,0.7,0.9,0.7,0.9
45064,4,3,7,0.5714285714285714,0.7,0.8,0.4,0.5,0.9,0.7,0.4,0.7,0.5,0.7,0.7
250989,4,3,7,0.5714285714285714,0.8,0.8,0.7,0.6,0.5,0.7,0.6,0.7,0.7,0.7,0.8
228579,8,6,14,0.5714285714285714,0.4,0.8,0.3,0.6,0.5,0.8,0.7,0.6,0.5,0.7,0.8
127168,4,3,7,0.5714285714285714,0.8,0.8,0.8,0.7,0.8,0.7,0.6,0.6,0.4,0.7,0.8
228245,4,3,7,0.5714285714285714,0.8,0.8,0.9,0.6,0.4,0.7,0.5,0.7,0.7,0.7,0.7
145861,4,3,7,0.5714285714285714,0.9,0.8,0.5,0.5,0.5,0.7,0.7,0.6,0.7,0.7,0.5
267061,4,3,7,0.5714285714285714,0.8,0.8,0.7,0.5,0.5,0.8,0.5,0.8,0.9,0.7,0.7
165576,4,3,7,0.5714285714285714,0.5,0.8,0.7,0.7,0.6,0.8,0.3,0.8,0.5,0.7,0.5
120548,4,3,7,0.5714285714285714,0.8,0.8,0.8,0.6,0.6,0.8,0.2,0.4,0.9,0.7,0.4
227702,12,9,21,0.5714285714285714,0.8,0.8,0.9,0.5,0.6,0.8,0.7,0.7,0.8,0.7,0.6
147686,12,9,21,0.5714285714285714,0.5,0.8,0.7,0.5,0.6,0.7,0.4,0.7,0.3,0.7,0.7
14387,8,6,14,0.5714285714285714,0.8,0.8,0.9,0.5,0.8,0.8,0.1,0.6,0.5,0.7,0.6
254467,4,3,7,0.5714285714285714,0.4,0.8,0.7,0.4,0.3,0.8,0.4,0.5,0.6,0.7,0.9
114634,4,3,7,0.5714285714285714,0.7,0.8,0.9,0.5,0.6,0.8,0.6,0.8,0.6,0.7,0.6
155376,4,3,7,0.5714285714285714,0.9,0.8,0.7,0.4,0.6,0.7,0.6,0.4,0.8,0.7,0.8
46197,4,3,7,0.5714285714285714,0.7,0.8,0.7,0.5,0.7,0.8,0.4,0.0,0.1,0.7,0.0
41596,4,3,7,0.5714285714285714,0.7,0.8,0.6,0.5,0.3,0.7,0.5,0.5,0.8,0.7,1.0
253626,4,3,7,0.5714285714285714,0.7,0.8,0.7,0.6,0.5,0.7,0.4,0.6,0.8,0.7,0.7
136313,4,3,7,0.5714285714285714,0.7,0.8,0.6,0.6,0.6,0.7,0.3,0.8,0.7,0.7,1.0
19233,4,3,7,0.5714285714285714,0.7,0.8,0.7,0.5,0.6,0.7,0.4,0.7,1.0,0.7,0.5
266650,8,6,14,0.5714285714285714,0.6,0.8,0.8,0.6,0.5,0.8,0.6,0.6,0.8,0.7,0.5
55927,16,12,28,0.5714285714285714,0.7,0.8,0.8,0.5,0.3,0.8,0.4,0.8,0.7,0.7,0.5
123143,4,3,7,0.5714285714285714,0.8,0.8,0.7,0.7,0.5,0.8,0.8,0.4,0.6,0.7,0.8
35707,4,3,7,0.5714285714285714,0.7,0.8,0.9,0.5,0.4,0.8,0.4,0.5,1.0,0.7,1.0
146421,4,3,7,0.5714285714285714,0.7,0.8,0.5,0.7,0.9,0.7,0.7,0.6,0.7,0.7,0.6
239161,4,3,7,0.5714285714285714,0.6,0.8,0.5,0.7,0.9,0.7,0.6,0.5,0.8,0.7,0.8
260678,4,3,7,0.5714285714285714,0.7,0.8,0.8,0.5,0.6,0.7,0.7,0.6,0.9,0.7,0.7
34526,4,3,7,0.5714285714285714,0.5,0.8,0.7,0.6,0.4,0.7,0.7,0.7,0.7,0.7,0.5
57920,4,3,7,0.5714285714285714,0.6,0.8,0.7,0.4,0.6,0.7,0.5,0.6,1.0,0.7,0.8
239374,4,3,7,0.5714285714285714,0.7,0.8,0.9,0.5,0.7,0.7,0.6,0.7,0.9,0.7,0.9
160378,4,3,7,0.5714285714285714,0.8,0.8,0.7,0.5,0.4,0.7,0.5,0.9,0.8,0.7,0.7
34115,4,3,7,0.5714285714285714,0.8,0.8,0.7,0.4,0.4,0.8,0.7,0.6,0.4,0.7,1.0
244761,4,3,7,0.5714285714285714,0.7,0.8,0.8,0.6,0.9,0.7,0.6,0.5,0.6,0.7,0.6
151263,4,3,7,0.5714285714285714,0.6,0.8,0.3,0.3,0.7,0.8,0.5,0.5,0.7,0.7,0.9
233867,4,3,7,0.5714285714285714,0.6,0.8,0.2,0.5,0.5,0.7,0.4,0.6,0.6,0.7,0.9
21252,8,6,14,0.5714285714285714,0.7,0.8,0.9,0.6,0.2,0.8,0.6,0.2,0.8,0.7,0.8
258160,4,3,7,0.5714285714285714,0.7,0.8,0.5,0.5,0.3,0.8,0.5,0.6,1.0,0.7,0.8
54968,4,3,7,0.5714285714285714,0.8,0.8,0.4,0.7,0.8,0.7,0.5,0.9,0.3,0.7,0.7
37712,56,42,98,0.5714285714285714,0.9,0.8,0.9,1.0,0.8,0.7,0.6,0.6,1.0,0.7,0.9
238540,4,3,7,0.5714285714285714,0.6,0.8,0.1,0.4,0.8,0.7,0.8,0.5,0.4,0.7,0.8
51627,4,3,7,0.5714285714285714,0.8,0.8,0.6,0.5,0.7,0.8,0.7,0.5,0.9,0.7,0.8
20961,4,3,7,0.5714285714285714,0.9,0.8,0.8,0.6,0.6,0.7,0.6,0.8,0.8,0.7,0.6
44837,4,3,7,0.5714285714285714,0.6,0.8,0.8,0.7,0.7,0.7,0.5,0.8,0.9,0.7,0.8
239736,4,3,7,0.5714285714285714,0.7,0.8,0.3,0.5,0.9,0.7,0.6,0.6,0.6,0.7,0.3
238057,8,6,14,0.5714285714285714,0.6,0.8,0.8,0.8,0.9,0.8,0.7,0.8,0.9,0.7,0.5
243942,8,6,14,0.5714285714285714,0.7,0.8,0.8,0.6,0.7,0.7,0.8,0.6,0.9,0.7,0.9
266331,4,3,7,0.5714285714285714,0.7,0.8,1.0,0.6,0.7,0.8,0.3,0.7,1.0,0.7,0.8
38091,4,3,7,0.5714285714285714,0.7,0.8,0.6,0.7,0.6,0.7,0.5,0.6,0.9,0.7,1.0
249150,4,3,7,0.5714285714285714,0.9,0.8,0.1,0.6,0.6,0.8,0.3,0.4,0.4,0.7,0.8
167722,4,3,7,0.5714285714285714,1.0,0.8,0.7,0.5,0.7,0.7,0.5,0.8,0.7,0.7,0.7
194600,43,32,75,0.5733333333333334,0.8,0.8,0.7,0.8,0.7,0.7,0.4,0.8,0.5,0.7,0.6
167800,19,14,33,0.5757575757575758,0.8,0.8,0.6,0.6,0.9,0.7,0.8,0.4,0.6,0.7,1.0
276050,19,14,33,0.5757575757575758,0.9,0.8,0.3,0.8,0.5,0.7,0.6,0.7,0.8,0.7,0.8
65877,11,8,19,0.5789473684210527,0.6,0.8,0.7,0.5,0.4,0.8,0.6,0.7,0.9,0.7,1.0
8019,11,8,19,0.5789473684210527,0.7,0.8,0.8,0.6,0.2,0.8,0.4,0.6,0.3,0.7,0.8
142623,11,8,19,0.5789473684210527,0.5,0.8,0.5,0.6,0.7,0.7,0.2,0.2,0.7,0.7,0.4
21484,11,8,19,0.5789473684210527,0.9,0.8,0.7,0.7,0.4,0.7,0.8,0.6,0.8,0.7,0.8
113030,11,8,19,0.5789473684210527,0.8,0.8,0.6,0.9,0.7,0.7,0.4,0.6,0.8,0.7,0.4
190831,11,8,19,0.5789473684210527,0.6,0.8,0.7,0.6,0.7,0.7,0.5,0.8,0.7,0.7,0.6
44845,11,8,19,0.5789473684210527,0.7,0.8,0.6,0.7,0.3,0.7,0.4,0.5,0.8,0.7,0.3
78834,40,29,69,0.5797101449275363,0.6,0.8,0.4,0.8,0.3,0.8,0.4,0.9,0.9,0.7,0.5
105054,18,13,31,0.5806451612903226,0.7,0.8,0.3,0.5,0.7,0.8,0.3,0.2,0.7,0.7,0.2
8066,18,13,31,0.5806451612903226,0.8,0.8,0.9,0.5,0.5,0.7,0.5,0.7,0.4,0.7,0.4
136491,25,18,43,0.5813953488372093,0.9,0.8,0.4,0.5,0.3,0.7,0.3,0.3,0.3,0.7,0.2
122429,32,23,55,0.5818181818181818,0.8,0.8,1.0,0.7,1.0,0.7,0.7,0.6,0.3,0.7,0.4
178201,14,10,24,0.5833333333333334,0.7,0.8,0.7,0.8,0.9,0.7,0.6,0.5,0.8,0.7,0.9
172119,7,5,12,0.5833333333333334,0.0,0.8,0.6,0.4,0.7,0.8,0.8,0.8,0.4,0.7,0.9
105536,7,5,12,0.5833333333333334,0.6,0.8,0.6,0.3,0.6,0.7,0.6,0.9,0.5,0.7,0.4
142680,7,5,12,0.5833333333333334,0.7,0.8,0.9,0.5,0.7,0.7,0.6,0.8,0.7,0.7,0.7
208415,7,5,12,0.5833333333333334,0.9,0.8,0.7,0.7,0.6,0.7,0.1,0.8,0.8,0.7,0.9
116301,7,5,12,0.5833333333333334,0.5,0.8,0.8,0.5,0.9,0.8,0.6,0.7,0.8,0.7,0.3
168954,21,15,36,0.5833333333333334,0.5,0.8,0.7,0.4,0.7,0.7,0.6,1.0,0.6,0.7,0.8
11629,7,5,12,0.5833333333333334,0.6,0.8,0.8,0.6,0.5,0.7,0.6,0.8,1.0,0.7,1.0
28594,7,5,12,0.5833333333333334,0.8,0.8,0.4,0.4,0.9,0.7,0.5,0.8,0.8,0.7,0.7
